Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Respiration Rate(bpm),time
1727926389.9,9.90814971923828,,,,,13.4
1727926389.95,9.87238311767578,,,,,13.45
1727926390.0,9.813613891601562,20.47781562805176,,,,13.5
1727926390.05,9.72418975830078,,,,,13.55
1727926390.1,9.742080688476562,,,,,13.6
1727926390.15,9.80084228515625,,,,,13.65
1727926390.2,9.795730590820312,,,,,13.7
1727926390.25,9.80084228515625,,,,,13.75
1727926390.3,9.846832275390623,,,,,13.8
1727926390.35,9.941368103027344,,,,,13.85
1727926390.4,9.977134704589846,,,,,13.9
1727926390.45,9.954139709472656,,,,,13.95
1727926390.5,9.933700561523438,,,,,14.0
1727926390.55,9.941368103027344,,,,,14.05
1727926390.6,9.920928955078123,,,,,14.1
1727926390.65,9.91070556640625,,,,,14.15
1727926390.7,10.115104675292969,,,,,14.2
1727926390.75,11.157546997070312,,,,,14.25
1727926390.8,12.176994323730469,,,,,14.3
1727926390.85,13.492813110351562,,,,,14.35
1727926390.9,14.197998046875,,,,,14.4
1727926390.95,15.225105285644531,,,,,14.45
1727926391.0,15.886848449707031,,,,,14.5
1727926391.05,16.70189666748047,,,,,14.55
1727926391.1,17.19756317138672,,,,,14.6
1727926391.15,18.020278930664062,,,,,14.65
1727926391.2,18.50572967529297,,,,,14.7
1727926391.25,18.87875366210937,,,,,14.75
1727926391.3,18.692237854003903,,,,,14.8
1727926391.35,17.754554748535156,,,,,14.85
1727926391.4,17.136245727539062,,,,,14.9
1727926391.45,16.722335815429688,,,,,14.95
1727926391.5,16.668678283691406,,,,,15.0
1727926391.55,16.73766326904297,,,,,15.05
1727926391.6,16.707008361816406,,,,,15.1
1727926391.65,16.362083435058594,,,,,15.15
1727926391.7,16.16278839111328,,,,,15.2
1727926391.75,16.20367431640625,,,,,15.25
1727926391.8,16.32886505126953,,,,,15.3
1727926391.85,16.4412841796875,,,,,15.35
1727926391.9,16.436180114746094,,,,,15.4
1727926391.95,16.326309204101562,,,,,15.45
1727926392.0,16.170455932617188,,,,,15.5
1727926392.05,15.856193542480469,,,,,15.55
1727926392.1,15.662010192871094,,,,,15.6
1727926392.15,15.383514404296877,,,,,15.65
1727926392.2,15.2276611328125,,,,,15.7
1727926392.25,15.168899536132812,,,,,15.75
1727926392.3,15.21233367919922,,,,,15.8
1727926392.35,15.13568115234375,,,,,15.85
1727926392.4,14.972160339355469,,,,,15.9
1727926392.45,14.831634521484377,,,,,15.95
1727926392.5,14.834190368652344,,,,,16.0
1727926392.55,14.777984619140623,,,,,16.05
1727926392.6,14.719215393066406,,,,,16.1
1727926392.65,14.716659545898438,,,,,16.15
1727926392.7,14.611907958984377,,,,,16.2
1727926392.75,14.415168762207031,,,,,16.25
1727926392.8,14.425392150878906,,,,,16.3
1727926392.85,14.39728546142578,,,,,16.35
1727926392.9,14.264427185058594,,,,,16.4
1727926392.95,14.037033081054688,,,,,16.45
1727926393.0,13.93994140625,,,,,16.5
1727926393.05,13.891395568847656,,,,,16.55
1727926393.1,13.84796142578125,,,,,16.6
1727926393.15,13.6461181640625,,,,,16.65
1727926393.2,13.398284912109377,,,,,16.7
1727926393.25,12.951156616210938,,,,,16.75
1727926393.3,12.769752502441406,,,,,16.8
1727926393.35,12.680328369140623,,,,,16.85
1727926393.4,12.590904235839844,,,,,16.9
1727926393.45,12.442710876464844,,,,,16.95
1727926393.5,12.399276733398438,,,,,17.0
1727926393.55,12.45037841796875,,,,,17.05
1727926393.6,12.544914245605469,,,,,17.1
1727926393.65,12.616455078125,,,,,17.15
1727926393.7,12.511695861816406,,,,,17.2
1727926393.75,12.067123413085938,,,,,17.25
1727926393.8,11.75286102294922,,,,,17.3
1727926393.85,11.45392608642578,,,,,17.35
1727926393.9,11.2904052734375,,,,,17.4
1727926393.95,11.055343627929688,,,,,17.45
1727926394.0,10.896934509277344,,,,,17.5
1727926394.05,10.636329650878906,,,,,17.55
1727926394.1,10.49835968017578,,,,,17.6
1727926394.15,10.398712158203123,,,,,17.65
1727926394.2,10.357833862304688,,,,,17.7
1727926394.25,10.3348388671875,,,,,17.75
1727926394.3,10.345054626464844,,,,,17.8
1727926394.35,10.327171325683594,,,,,17.85
1727926394.4,10.324615478515623,,,,,17.9
1727926394.45,10.362945556640623,,,,,17.95
1727926394.5,10.311843872070312,,,,,18.0
1727926394.55,10.155990600585938,,,,,18.05
1727926394.6,10.089553833007812,,,,,18.1
1727926394.65,10.043563842773438,,,,,18.15
1727926394.7,10.028236389160156,,,,,18.2
1727926394.75,10.066558837890623,,,,,18.25
1727926394.8,10.13043975830078,,,,,18.3
1727926394.85,10.304176330566406,,,,,18.35
1727926394.9,10.559677124023438,,,,,18.4
1727926394.95,11.430931091308594,,,,,18.45
1727926395.0,12.245979309082031,,,,,18.5
1727926395.05,13.311408996582031,,,,,18.55
1727926395.1,13.927169799804688,,,,,18.6
1727926395.15,14.898063659667969,,,,,18.65
1727926395.2,15.587913513183594,,,,,18.7
1727926395.25,16.510269165039062,,,,,18.75
1727926395.3,16.95995330810547,,,,,18.8
1727926395.35,17.13880157470703,,,,,18.85
1727926395.4,16.89862823486328,,,,,18.9
1727926395.45,16.377410888671875,,,,,18.95
1727926395.5,16.09125518798828,,,,,19.0
1727926395.55,15.83575439453125,,,,,19.05
1727926395.6,15.817863464355469,,,,,19.1
1727926395.65,15.787208557128906,,,,,19.15
1727926395.7,15.513824462890623,,,,,19.2
1727926395.75,14.91851043701172,,,,,19.25
1727926395.8,14.606796264648438,,,,,19.3
1727926395.85,14.384513854980469,,,,,19.35
1727926395.9,14.379402160644531,,,,,19.4
1727926395.95,14.369178771972656,,,,,19.45
1727926396.0,14.341079711914062,,,,,19.5
1727926396.05,14.28742218017578,,,,,19.55
1727926396.1,14.223548889160156,,,,,19.6
1727926396.15,14.02936553955078,,,,,19.65
1727926396.2,13.824966430664062,,,,,19.7
1727926396.25,13.44427490234375,,,,,19.75
1727926396.3,13.214324951171877,,,,,19.8
1727926396.35,13.081459045410156,,,,,19.85
1727926396.4,13.09423828125,,,,,19.9
1727926396.45,13.160667419433594,,,,,19.95
1727926396.5,13.175994873046877,,,,,20.0
1727926396.55,13.11467742919922,,,,,20.05
1727926396.6,13.089126586914062,,,,,20.1
1727926396.65,12.961380004882812,,,,,20.15
1727926396.7,12.74420166015625,,,,,20.2
1727926396.75,12.399276733398438,,,,,20.25
1727926396.8,12.212760925292969,,,,,20.3
1727926396.85,11.9521484375,,,,,20.35
1727926396.9,11.839729309082031,,,,,20.4
1727926396.95,11.796295166015623,,,,,20.45
1727926397.0,11.872947692871094,,,,,20.5
1727926397.05,12.033912658691406,,,,,20.55
1727926397.1,12.054351806640623,,,,,20.6
1727926397.15,11.993034362792969,,,,,20.65
1727926397.2,11.957260131835938,,,,,20.7
1727926397.25,11.852508544921877,,,,,20.75
1727926397.3,11.673660278320312,,,,,20.8
1727926397.35,11.392608642578123,,,,,20.85
