Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Unnamed: 3,Unnamed: 4,Unnamed: 5,time
9555,1709759197.75,4.13640594482422,,,,,9.799999952316284
9556,1709759197.8,4.0418701171875,,,,,9.849999904632568
9557,1709759197.85,3.9192352294921906,,,,,9.899999856948853
9558,1709759197.9,3.82980346679688,,,,,9.950000047683716
9559,1709759197.95,3.7787094116210898,,,,,10.0
9560,1709759198.0,3.81447601318359,,,,,10.049999952316284
9561,1709759198.05,3.87579345703125,,,,,10.099999904632568
9562,1709759198.1,3.83235931396484,,,,,10.149999856948853
9563,1709759198.15,3.86813354492188,,,,,10.200000047683716
9564,1709759198.2,3.94989013671875,,,,,10.25
9565,1709759198.25,3.91156768798828,,,,,10.299999952316284
9566,1709759198.3,3.94223022460938,,,,,10.349999904632568
9567,1709759198.35,4.18239593505859,,,,,10.399999856948853
9568,1709759198.4,5.08431243896484,,,,,10.450000047683716
9569,1709759198.45,5.88658142089844,,,,,10.5
9570,1709759198.5,7.059326171875,,,,,10.549999952316284
9571,1709759198.55,7.8667068481445295,,,,,10.599999904632568
9572,1709759198.6,9.34860992431641,,,,,10.649999856948853
9573,1709759198.65,10.2735137939453,,,,,10.700000047683716
9574,1709759198.7,10.741081237793,,,,,10.75
9575,1709759198.75,10.2428588867188,,,,,10.799999952316284
9576,1709759198.8,9.20297241210938,,,,,10.849999904632568
9577,1709759198.85,9.09566497802734,,,,,10.899999856948853
9578,1709759198.9,9.22085571289063,,,,,10.950000047683716
9579,1709759198.95,8.87081909179688,,,,,11.0
9580,1709759199.0,8.183525085449219,,,,,11.049999952316284
9581,1709759199.05,8.06343841552734,,,,,11.099999904632568
9582,1709759199.1,8.22951507568359,,,,,11.149999856948853
9583,1709759199.15,8.311279296875,,,,,11.200000047683716
9584,1709759199.2,8.27294921875,,,,,11.25
9585,1709759199.25,8.183525085449219,,,,,11.299999952316284
9586,1709759199.3,8.165641784667969,,,,,11.349999904632568
9587,1709759199.35,8.28572845458984,,,,,11.399999856948853
9588,1709759199.4,8.26273345947266,,,,,11.450000047683716
9589,1709759199.45,8.06599426269531,,,,,11.5
9590,1709759199.5,7.905029296875,,,,,11.549999952316284
9591,1709759199.55,7.744064331054689,,,,,11.599999904632568
9592,1709759199.6,7.40936279296875,,,,,11.649999856948853
9593,1709759199.65,7.4655685424804705,,,,,11.700000047683716
9594,1709759199.7,7.94846343994141,,,,,11.75
9595,1709759199.75,8.211631774902338,,,,,11.799999952316284
9596,1709759199.8,8.03789520263672,,,,,11.849999904632568
9597,1709759199.85,7.67252349853516,,,,,11.899999856948853
9598,1709759199.9,7.36337280273438,,,,,11.950000047683716
9599,1709759199.95,7.330154418945311,,,,,12.0
9600,1709759200.0,7.29694366455078,50.0,,,,12.049999952316284
9601,1709759200.05,7.23051452636719,,,,,12.099999904632568
9602,1709759200.1,7.01333618164063,,,,,12.149999856948853
9603,1709759200.15,6.918800354003911,,,,,12.200000047683716
9604,1709759200.2,6.91368865966797,,,,,12.25
9605,1709759200.25,6.88558959960938,,,,,12.299999952316284
9606,1709759200.3,6.63008880615234,,,,,12.349999904632568
9607,1709759200.35,6.29793548583984,,,,,12.399999856948853
9608,1709759200.4,5.82270812988281,,,,,12.450000047683716
9609,1709759200.45,5.53398895263672,,,,,12.5
9610,1709759200.5,5.0,,,,,12.549999952316284
9611,1709759200.55,4.8185958862304705,,,,,12.599999904632568
9612,1709759200.6,5.21717071533203,,,,,12.649999856948853
9613,1709759200.65,5.75627899169922,,,,,12.700000047683716
9614,1709759200.7,6.73995208740234,,,,,12.75
9615,1709759200.75,7.61887359619141,,,,,12.799999952316284
9616,1709759200.8,9.18508911132813,,,,,12.849999904632568
9617,1709759200.85,10.2173080444336,,,,,12.899999856948853
9618,1709759200.9,11.4462585449219,,,,,12.950000047683716
9619,1709759200.95,11.9572601318359,,,,,13.0
9620,1709759201.0,12.1361083984375,,,,,13.049999952316284
9621,1709759201.05,11.7656402587891,,,,,13.099999904632568
9622,1709759201.1,10.9863586425781,,,,,13.149999856948853
9623,1709759201.15,10.48046875,,,,,13.200000047683716
9624,1709759201.2,9.53256988525391,,,,,13.25
9625,1709759201.25,9.08799743652344,,,,,13.299999952316284
9626,1709759201.3,9.08544158935547,,,,,13.349999904632568
9627,1709759201.35,9.32561492919922,,,,,13.399999856948853
9628,1709759201.4,9.53767395019531,,,,,13.450000047683716
9629,1709759201.45,9.55045318603516,,,,,13.5
9630,1709759201.5,9.45847320556641,,,,,13.549999952316284
9631,1709759201.55,9.26173400878906,,,,,13.599999904632568
9632,1709759201.6,8.97813415527344,,,,,13.649999856948853
9633,1709759201.65,8.90914916992188,,,,,13.700000047683716
9634,1709759201.7,8.531005859375,,,,,13.75
9635,1709759201.75,8.11198425292969,,,,,13.799999952316284
9636,1709759201.8,7.77983856201172,,,,,13.849999904632568
9637,1709759201.85,7.83094024658203,,,,,13.899999856948853
9638,1709759201.9,7.95101928710938,,,,,13.950000047683716
9639,1709759201.95,7.89992523193359,,,,,14.0
9640,1709759202.0,7.87947845458984,,,,,14.049999952316284
9641,1709759202.05,8.03533935546875,,,,,14.099999904632568
9642,1709759202.1,8.17075347900391,,,,,14.149999856948853
9643,1709759202.15,7.98423767089844,,,,,14.200000047683716
9644,1709759202.2,7.42724609375,,,,,14.25
9645,1709759202.25,7.15130615234375,,,,,14.299999952316284
9646,1709759202.3,7.24839782714844,,,,,14.349999904632568
9647,1709759202.35,7.49111938476563,,,,,14.399999856948853
9648,1709759202.4,7.67507934570313,,,,,14.450000047683716
9649,1709759202.45,7.64442443847656,,,,,14.5
9650,1709759202.5,7.652084350585939,,,,,14.549999952316284
9651,1709759202.55,7.72873687744141,,,,,14.599999904632568
9652,1709759202.6,7.70063018798828,,,,,14.649999856948853
9653,1709759202.65,7.47323608398438,,,,,14.700000047683716
9654,1709759202.7,7.066993713378911,,,,,14.75
9655,1709759202.75,6.95967864990234,,,,,14.799999952316284
9656,1709759202.8,6.83448791503906,,,,,14.849999904632568
9657,1709759202.85,6.66329956054688,,,,,14.899999856948853
9658,1709759202.9,6.59175872802734,,,,,14.950000047683716
9659,1709759202.95,6.69651794433594,,,,,15.0
9660,1709759203.0,6.83704376220703,,,,,15.049999952316284
9661,1709759203.05,6.69140625,,,,,15.099999904632568
9662,1709759203.1,6.19829559326172,,,,,15.149999856948853
9663,1709759203.15,5.942794799804689,,,,,15.200000047683716
9664,1709759203.2,5.71284484863281,,,,,15.25
9665,1709759203.25,5.76139068603516,,,,,15.299999952316284
9666,1709759203.3,6.05010223388672,,,,,15.349999904632568
9667,1709759203.35,6.096092224121089,,,,,15.399999856948853
9668,1709759203.4,5.9172439575195295,,,,,15.450000047683716
9669,1709759203.45,5.83292388916016,,,,,15.5
9670,1709759203.5,5.86614227294922,,,,,15.549999952316284
9671,1709759203.55,5.93512725830078,,,,,15.599999904632568
9672,1709759203.6,5.95045471191406,,,,,15.649999856948853
9673,1709759203.65,5.91468811035156,,,,,15.700000047683716
9674,1709759203.7,5.7690505981445295,,,,,15.75
9675,1709759203.75,5.64896392822266,,,,,15.799999952316284
9676,1709759203.8,5.58509063720703,,,,,15.849999904632568
9677,1709759203.85,5.59020233154297,,,,,15.899999856948853
9678,1709759203.9,5.60297393798828,,,,,15.950000047683716
9679,1709759203.95,5.53398895263672,,,,,16.0
9680,1709759204.0,5.31170654296875,,,,,16.049999952316284
9681,1709759204.05,5.20184326171875,,,,,16.09999990463257
9682,1709759204.1,5.20184326171875,,,,,16.149999856948853
9683,1709759204.15,5.13030242919922,,,,,16.200000047683716
9684,1709759204.2,4.97700500488281,,,,,16.25
9685,1709759204.25,5.12519073486328,,,,,16.299999952316284
9686,1709759204.3,5.28615570068359,,,,,16.34999990463257
9687,1709759204.35,5.17118072509766,,,,,16.399999856948853
9688,1709759204.4,5.07664489746094,,,,,16.450000047683716
9689,1709759204.45,5.10730743408203,,,,,16.5
9690,1709759204.5,5.2197265625,,,,,16.549999952316284
9691,1709759204.55,5.24016571044922,,,,,16.59999990463257
9692,1709759204.6,5.09963989257813,,,,,16.649999856948853
9693,1709759204.65,5.00765991210938,,,,,16.700000047683716
9694,1709759204.7,4.90546417236328,,,,,16.75
9695,1709759204.75,4.84159088134766,,,,,16.799999952316284
9696,1709759204.8,4.87480163574219,,,,,16.84999990463257
9697,1709759204.85,5.15585327148438,,,,,16.899999856948853
9698,1709759204.9,6.30560302734375,,,,,16.950000047683716
9699,1709759204.95,7.23051452636719,,,,,17.0
9700,1709759205.0,8.2371826171875,,,,,17.049999952316284
9701,1709759205.05,8.850379943847662,,,,,17.09999990463257
9702,1709759205.1,9.95413970947266,,,,,17.149999856948853
9703,1709759205.15,10.406379699707,,,,,17.200000047683716
9704,1709759205.2,10.406379699707,,,,,17.25
9705,1709759205.25,10.3782730102539,,,,,17.299999952316284
9706,1709759205.3,10.2479705810547,,,,,17.34999990463257
9707,1709759205.35,10.0282363891602,,,,,17.399999856948853
9708,1709759205.4,9.70375061035156,,,,,17.450000047683716
9709,1709759205.45,9.501907348632807,,,,,17.5
9710,1709759205.5,9.11099243164063,,,,,17.549999952316284
9711,1709759205.55,8.875930786132809,,,,,17.59999990463257
9712,1709759205.6,8.69708251953125,,,,,17.649999856948853
9713,1709759205.65,8.638313293457031,,,,,17.700000047683716
9714,1709759205.7,8.676643371582031,,,,,17.75
9715,1709759205.75,8.640869140625,,,,,17.799999952316284
9716,1709759205.8,8.46202087402344,,,,,17.84999990463257
9717,1709759205.85,8.44669342041016,,,,,17.899999856948853
9718,1709759205.9,8.62042999267578,,,,,17.950000047683716
9719,1709759205.95,8.83505249023438,,,,,18.0
9720,1709759206.0,9.09821319580078,,,,,18.049999952316284
9721,1709759206.05,9.13143157958984,,,,,18.09999990463257
9722,1709759206.1,8.99090576171875,,,,,18.149999856948853
9723,1709759206.15,8.8631591796875,,,,,18.200000047683716
9724,1709759206.2,8.71240997314453,,,,,18.25
9725,1709759206.25,8.62298583984375,,,,,18.299999952316284
9726,1709759206.3,8.45435333251953,,,,,18.34999990463257
9727,1709759206.35,8.183525085449219,,,,,18.399999856948853
9728,1709759206.4,7.7057418823242205,,,,,18.450000047683716
